GenesetID	Description	PrediX_p	TWAS_p	KeyConsensusGenes	OtherGenes
GO:0070861	regulation of protein exit from endoplasmic reticulum	0.00996821698910011	0.433921658210498	TMEM30B	NA
GO:0002377	immunoglobulin production	0.0630666974820782	0.00259887477290052	HLA-DQB1	NA
GO:1901991	negative regulation of mitotic cell cycle phase transition	0.631772368227632	0.00911099088900911	NA	TRIP13,ZFP36L2
GO:0009582	detection of abiotic stimulus	0.00767799232200768	0.011970988029012	NA	SERPINE2
GO:0031503	protein-containing complex localization	0.00717799282200718	0.033002966997033	CEP72,EXOC3	ARL3,ICK,IFT74,NDC1
GO:0000018	regulation of DNA recombination	0.00640699359300641	0.264445735554264	NA	TFRC
GO:0033227	dsRNA transport	0.000489959972761547	0.538264996018027	NA	NA
GO:0018345	protein palmitoylation	0.0362346817525315	0.000504219335410904	ZDHHC11,ZDHHC11B	NA
GO:0018126	protein hydroxylation	0.468980602360407	0.00920833020073679	NA	JMJD6
GO:0042407	cristae formation	0.00258108016701865	NA	NA	NA
GO:2001033	negative regulation of double-strand break repair via nonhomologous end joining	0.00989213131602523	NA	NA	AUNIP
GO:0071712	ER-associated misfolded protein catabolic process	0.613598393006588	0.00737866786313237	NA	NA
GO:0002429	immune response-activating cell surface receptor signaling pathway	0.00335399664600335	0.000485999514000486	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,MUC20,MUC4,PRKCB	BTNL2,HLA-DQB2,HLA-DRA,PIK3R2,SPG21,VAV3
GO:0048012	hepatocyte growth factor receptor signaling pathway	0.00240895131677455	0.00201890428558319	MET,MUC20	STMN1
GO:0050852	T cell receptor signaling pathway	0.0150679849320151	0.000565999434000566	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	BTNL2,HLA-DQB2,HLA-DRA,PIK3R2
GO:0033313	meiotic cell cycle checkpoint	0.378725823174788	0.00718809658235885	NA	TRIP13
GO:0050851	antigen receptor-mediated signaling pathway	0.00270699729300271	9.6999903000097e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,PRKCB	BTNL2,HLA-DQB2,HLA-DRA,PIK3R2,SPG21,VAV3
GO:0006612	protein targeting to membrane	0.774596225403775	0.0075049924950075	ZDHHC11,ZDHHC11B	NA
GO:0042953	lipoprotein transport	0.0097437660525411	0.392037865472908	PRKCB	APOC2
GO:0002891	positive regulation of immunoglobulin mediated immune response	0.00224328714075402	0.208064819935717	NA	TFRC
GO:0042461	photoreceptor cell development	0.00173228929231182	0.310551597149948	NA	ARL3,THRB
GO:0035635	entry of bacterium into host cell	0.000730105675411054	0.118590412502719	MET	NA
GO:0010757	negative regulation of plasminogen activation	0.00770474358449638	NA	NA	SERPINE2
GO:0006105	succinate metabolic process	0.354320025244723	0.00208810690755871	NA	SDHA
GO:2000027	regulation of animal organ morphogenesis	0.122260877739122	0.000790999209000791	NA	FOXP2,SMAD4
GO:0002476	antigen processing and presentation of endogenous peptide antigen via MHC class Ib	0.125820142517713	0.005190060567183	NA	HLA-B
GO:0090238	positive regulation of arachidonic acid secretion	0.0397461453968512	0.00324579052665422	PLA2R1	NA
GO:0018230	peptidyl-L-cysteine S-palmitoylation	0.00851975202134703	6.62575430699128e-05	ZDHHC11,ZDHHC11B	NA
