GenesetID	Description	PrediX_p	TWAS_p	KeyConsensusGenes	OtherGenes
REACTOME_R_HSA_1368082	RORA activates gene expression (http://www.ncbi.nlm.nih.gov/biosystems?term=1269873)	0.00188967992545373	0.344865967441865	NA	NRIP1
REACTOME_R_HSA_400685	Sema4D in semaphorin signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1270305)	0.0189166801721499	0.0059663050966946	MET	RAC2
REACTOME_R_HSA_202433	Generation of second messenger molecules (http://www.ncbi.nlm.nih.gov/biosystems?term=1269175)	3.00121849470885e-06	0.00040574941917722	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA
KEGG_hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series (http://www.ncbi.nlm.nih.gov/biosystems?term=82996)	0.00423579638552139	0.137517833702822	NA	A4GALT
KEGG_hsa05150	Staphylococcus aureus infection (http://www.ncbi.nlm.nih.gov/biosystems?term=172846)	6.4000064000064e-05	4.10014760531379e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	C2,CFH,HLA-DRA
KEGG_hsa04940	Type I diabetes mellitus (http://www.ncbi.nlm.nih.gov/biosystems?term=83095)	4.20018900850538e-05	8.80235022751075e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
KEGG_hsa00340	Histidine metabolism (http://www.ncbi.nlm.nih.gov/biosystems?term=82958)	0.00519674910131407	0.904704052092606	NA	NA
REACTOME_R_HSA_380095	Tachykinin receptors bind tachykinins (http://www.ncbi.nlm.nih.gov/biosystems?term=1269548)	0.00835292471790112	NA	NA	NA
REACTOME_R_HSA_2132295	MHC class II antigen presentation (http://www.ncbi.nlm.nih.gov/biosystems?term=1269200)	0.00144699855300145	0.016994983005017	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	AP1S1,HLA-DQB2,HLA-DRA
REACTOME_R_HSA_913531	Interferon Signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269311)	0.00551999448000552	0.010975989024011	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,OASL	HLA-B,HLA-DQB2,HLA-DRA,NDC1
KEGG_hsa05323	Rheumatoid arthritis (http://www.ncbi.nlm.nih.gov/biosystems?term=200309)	5.2999947000053e-05	0.000518999481000519	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	ATP6V0D2,HLA-DRA
REACTOME_R_HSA_264876	Insulin processing (http://www.ncbi.nlm.nih.gov/biosystems?term=1268747)	0.149323596216786	0.00770546059573412	EXOC3	NA
KEGG_hsa05320	Autoimmune thyroid disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83121)	2.20018701589635e-05	8.00540364746204e-06	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
KEGG_hsa04672	Intestinal immune network for IgA production (http://www.ncbi.nlm.nih.gov/biosystems?term=128760)	2.6000312003744e-05	0.00177236333448357	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DRA
KEGG_hsa05332	Graft-versus-host disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83124)	1.70010540653521e-05	2.20148600305206e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
REACTOME_R_HSA_202427	Phosphorylation of CD3 and TCR zeta chains (http://www.ncbi.nlm.nih.gov/biosystems?term=1269173)	6.02422340230065e-06	0.000293165305806796	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA
KEGG_hsa05321	Inflammatory bowel disease (IBD) (http://www.ncbi.nlm.nih.gov/biosystems?term=842771)	2.5000025000025e-05	0.00025000175001225	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DRA,RORC
KEGG_hsa05152	Tuberculosis (http://www.ncbi.nlm.nih.gov/biosystems?term=213780)	0.00972099027900972	0.0246989753010247	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1,PLA2R1	ATP6V0D2,HLA-DRA
KEGG_hsa04659	Th17 cell differentiation (http://www.ncbi.nlm.nih.gov/biosystems?term=1469482)	0.00785499214500785	0.001001998998001	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DRA,RORC,SMAD4
REACTOME_R_HSA_5678895	Defective CFTR causes cystic fibrosis (http://www.ncbi.nlm.nih.gov/biosystems?term=1268934)	0.628459371540628	0.00827619862876709	NA	NA
KEGG_hsa05310	Asthma (http://www.ncbi.nlm.nih.gov/biosystems?term=83120)	3.00208645008281e-06	0.000115212798037976	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DRA,PRG2
BIOCYC_HUMAN_PWY_5695	urate biosynthesis/inosine 5'-phosphate degradation (http://www.ncbi.nlm.nih.gov/biosystems?term=545323)	0.0333917764583466	0.00878789738135657	NA	NA
REACTOME_R_HSA_162594	Early Phase of HIV Life Cycle (http://www.ncbi.nlm.nih.gov/biosystems?term=1269059)	0.00803938935541832	0.42236390815182	NA	NA
REACTOME_R_HSA_202430	Translocation of ZAP-70 to Immunological synapse (http://www.ncbi.nlm.nih.gov/biosystems?term=1269174)	3.02579795335026e-06	9.87791105603016e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA
KEGG_hsa05416	Viral myocarditis (http://www.ncbi.nlm.nih.gov/biosystems?term=125138)	8.000008000008e-06	7.3e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA,RAC2
KEGG_hsa04640	Hematopoietic cell lineage (http://www.ncbi.nlm.nih.gov/biosystems?term=83078)	2.2999977000023e-05	0.0104949895050105	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DRA,MME,TFRC
REACTOME_R_HSA_164843	2-LTR circle formation (http://www.ncbi.nlm.nih.gov/biosystems?term=1269067)	0.00673241548498525	0.635356656454969	NA	NA
REACTOME_R_HSA_202424	Downstream TCR signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269176)	0.000870999129000871	0.00116499883500116	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-DQB2,HLA-DRA,PIK3R2
KEGG_hsa05330	Allograft rejection (http://www.ncbi.nlm.nih.gov/biosystems?term=83123)	1.80026823996776e-05	1.80197857247257e-05	HLA-DQA1,HLA-DQA2,HLA-DQB1,HLA-DRB1	HLA-B,HLA-DRA
