ENSGID	GENE	minP	meanP
ENSG00000000419	DPM1	0.0004828	0.1982
ENSG00000000457	SCYL3	0.008106	0.621
ENSG00000000460	C1orf112	0.003205	0.8033
ENSG00000000938	FGR	0.01288	0.01288
ENSG00000000971	CFH	0.002605	0.003552
ENSG00000001036	FUCA2	0.07202	0.9623
ENSG00000001084	GCLC	0.004713	0.9426
ENSG00000001167	NFYA	0.002525	0.5002
ENSG00000001460	STPG1	0.002239	0.6134
ENSG00000001461	NIPAL3	0.002239	0.7834
ENSG00000001561	ENPP4	0.008007	0.3537
ENSG00000001617	SEMA3F	0.0793	0.9405
ENSG00000001626	CFTR	0.001566	0.03933
ENSG00000001629	ANKIB1	0.0005851	0.7403
ENSG00000001630	CYP51A1	0.1858	0.4795
ENSG00000001631	KRIT1	0.0009894	0.7557
ENSG00000002016	RAD52	0.001465	0.4438
ENSG00000002330	BAD	0.03512	0.772
ENSG00000002549	LAP3	0.01032	0.02374
ENSG00000002587	HS3ST1	8.62e-05	0.7192
ENSG00000002726	AOC1	0.001543	0.2501
ENSG00000002745	WNT16	0.009176	0.3954
ENSG00000002746	HECW1	0.004969	0.07742
ENSG00000002822	MAD1L1	0.008409	0.1231
ENSG00000002834	LASP1	0.001884	0.632
ENSG00000002919	SNX11	0.001008	0.6485
ENSG00000002933	TMEM176A	0.0001526	0.004193
ENSG00000003056	M6PR	0.0005175	0.3214
ENSG00000003137	CYP26B1	0.003805	0.862
ENSG00000003147	ICA1	0.01294	0.661
ENSG00000003249	DBNDD1	0.01704	0.2327
ENSG00000003393	ALS2	0.01312	0.2965
ENSG00000003400	CASP10	0.0003946	0.8856
ENSG00000003402	CFLAR	0.0003946	0.5986
ENSG00000003436	TFPI	0.007816	0.2386
ENSG00000003509	NDUFAF7	0.01378	0.4424
ENSG00000003756	RBM5	0.4881	0.7268
ENSG00000003987	MTMR7	0.03338	0.9481
ENSG00000003989	SLC7A2	0.0009986	0.8143
ENSG00000004059	ARF5	0.06459	0.2452
ENSG00000004139	SARM1	0.00998	0.8737
ENSG00000004142	POLDIP2	2.506e-05	0.2939
