GenesetID	Description	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
REACTOME_R_HSA_202433	Generation of second messenger molecules (http://www.ncbi.nlm.nih.gov/biosystems?term=1269175)	3.00121849470885e-06	0.0022572452731993	0.854658092092614	1.76918335294287	2	27	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,HLA-DRB5,HLA-DRA
KEGG_hsa05310	Asthma (http://www.ncbi.nlm.nih.gov/biosystems?term=83120)	3.00208645008281e-06	0.0022572452731993	0.842290859285966	1.73443291713218	2	25	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,PRG2,TNF,HLA-DRB5,FCER1A,HLA-DRA,HLA-DMB,HLA-DMA
REACTOME_R_HSA_202430	Translocation of ZAP-70 to Immunological synapse (http://www.ncbi.nlm.nih.gov/biosystems?term=1269174)	3.02579795335026e-06	0.0022572452731993	0.911842643509384	1.80175824013299	2	15	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,HLA-DRB5,HLA-DRA
REACTOME_R_HSA_202427	Phosphorylation of CD3 and TCR zeta chains (http://www.ncbi.nlm.nih.gov/biosystems?term=1269173)	6.02422340230065e-06	0.00337055299358721	0.872834103223317	1.75306583217633	5	18	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,HLA-DRB5,HLA-DRA
KEGG_hsa05416	Viral myocarditis (http://www.ncbi.nlm.nih.gov/biosystems?term=125138)	8.000008000008e-06	0.00358080358080358	0.715130676915798	1.53855220049202	7	53	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,RAC2,HLA-DRB5,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA
KEGG_hsa04612	Antigen processing and presentation (http://www.ncbi.nlm.nih.gov/biosystems?term=83074)	1.0999989000011e-05	0.0041029958970041	0.697597414154564	1.51204337053055	10	62	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,HSPA1L,TNF,HLA-DRB5,HSPA1B,KLRD1,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA
REACTOME_R_HSA_389948	PD-1 signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269182)	1.30524840383181e-05	0.0041563355903128	0.85907613562628	1.72543329258434	12	18	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,HLA-DRB5,HLA-DRA
KEGG_hsa05332	Graft-versus-host disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83124)	1.70010540653521e-05	0.0041563355903128	0.759664532038358	1.59812628985801	16	35	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,TNF,HLA-DRB5,KLRD1,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA
KEGG_hsa05330	Allograft rejection (http://www.ncbi.nlm.nih.gov/biosystems?term=83123)	1.80026823996776e-05	0.0041563355903128	0.77723541526142	1.6231552232494	17	31	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,TNF,HLA-DRB5,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA
REACTOME_R_HSA_388841	Costimulation by the CD28 family (http://www.ncbi.nlm.nih.gov/biosystems?term=1269177)	1.999998000002e-05	0.0041563355903128	0.693804312226763	1.50268069614751	19	61	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,PIK3R2,PIK3R3,HLA-DRB5,MAP3K8,HLA-DRA
KEGG_hsa05320	Autoimmune thyroid disease (http://www.ncbi.nlm.nih.gov/biosystems?term=83121)	2.20018701589635e-05	0.0041563355903128	0.761792401398519	1.59979186516958	21	34	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,HLA-DRB5,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA
KEGG_hsa04640	Hematopoietic cell lineage (http://www.ncbi.nlm.nih.gov/biosystems?term=83078)	2.2999977000023e-05	0.0041563355903128	0.657459250716306	1.43981421524657	22	79	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,MME,TFRC,CD44,TNF,HLA-DRB5,KIT,THPO,HLA-DRA
KEGG_hsa05321	Inflammatory bowel disease (IBD) (http://www.ncbi.nlm.nih.gov/biosystems?term=842771)	2.5000025000025e-05	0.0041563355903128	0.699330105871972	1.50592927872785	24	54	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,TNF,HLA-DRB5,GATA3,HLA-DRA,RORC,MAF,HLA-DMB,IL18R1,IL21R,IL12RB1,HLA-DMA,TGFB1,TLR2
KEGG_hsa04672	Intestinal immune network for IgA production (http://www.ncbi.nlm.nih.gov/biosystems?term=128760)	2.6000312003744e-05	0.0041563355903128	0.732834492368412	1.55559768093382	25	41	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,TNFRSF13C,HLA-DRB5,HLA-DRA,TNFSF13,IL15,ITGB7,HLA-DMB,LTBR,HLA-DMA,TGFB1,CCL25,PIGR
REACTOME_R_HSA_877300	Interferon gamma signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269314)	3.2999967000033e-05	0.00492359507640492	0.646947912225007	1.42089849942493	32	85	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,HLA-B,OASL,CD44,HLA-DRB5,TRIM10,CAMK2D,HLA-DRA,NCAM1,GBP1,TRIM46,HLA-C,GBP7
KEGG_hsa04940	Type I diabetes mellitus (http://www.ncbi.nlm.nih.gov/biosystems?term=83095)	4.20018900850538e-05	0.0058750143756469	0.739252472114238	1.55779344189844	41	36	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,TNF,HLA-DRB5,HLA-DRA,HLA-DMB,HLA-C,HLA-DMA,PTPRN,LTA,PRF1
KEGG_hsa05323	Rheumatoid arthritis (http://www.ncbi.nlm.nih.gov/biosystems?term=200309)	5.2999947000053e-05	0.00697728714035992	0.647796880492573	1.41865394107605	52	79	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,ATP6V0D2,TNF,HLA-DRB5,ATP6V1B1,CCL2,HLA-DRA,TNFSF13,ATP6V0E2,IL15,HLA-DMB,ATP6V1H,HLA-DMA,CXCL6,TGFB1,TLR2
KEGG_hsa05150	Staphylococcus aureus infection (http://www.ncbi.nlm.nih.gov/biosystems?term=172846)	6.4000064000064e-05	0.00795734129067462	0.695514690307914	1.4949506009078	63	52	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,C2,HLA-DRB5,HLA-DRA,MASP1,HLA-DMB,DSG1,C4B,C4A,HLA-DMA,CFH,FCGR2B
KEGG_hsa04145	Phagosome (http://www.ncbi.nlm.nih.gov/biosystems?term=153910)	7.3999926000074e-05	0.00871641233621924	0.595089579785965	1.32893638141929	73	139	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,HLA-B,TFRC,ATP6V0D2,PLA2R1,CORO1A,TUBA3D,HLA-DRB5,ATP6V1B1,MRC2,HLA-DRA,ATP6V0E2,THBS3,HLA-DMB,TUBB8,HLA-C,ATP6V1H,HLA-DMA,TUBB4A,MARCO,TLR2,TUBA8,EEA1,FCGR2B,DYNC1H1,C1R,CLEC7A,NCF1,THBS2,TUBB6,ITGB1
REACTOME_R_HSA_202424	Downstream TCR signaling (http://www.ncbi.nlm.nih.gov/biosystems?term=1269176)	0.000870999129000871	0.0974648025351975	0.604609565564772	1.3290930732888	870	87	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB2,HLA-DQB1,PIK3R2,HLA-DRB5,HLA-DRA,PSMB4,PSMD14,PSMB9,PSMC2,SKP1,PSMB2,PSMF1,PSMD9,NFKB1,PSMB1,PSMB8
KEGG_hsa05164	Influenza A (http://www.ncbi.nlm.nih.gov/biosystems?term=217173)	0.000982999017000983	0.104759609526105	0.565914094531976	1.2645905797674	982	142	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,PRKCB,PIK3R2,HSPA1L,PIK3R3,TNF,HLA-DRB5,HSPA1B,CCL2,PABPN1L,HLA-DRA,RAE1,KPNA1,NLRX1,TMPRSS4,EP300,EIF2AK2,HLA-DMB,HLA-DMA,TLR3,NXT1,IFNAR1,MYD88,NFKB1,RNASEL,MAP2K7,DDX39B,PRSS3,FURIN,FASLG,PRSS1,TYK2,TBK1,IRF7,DDX58,JAK2,MAPK3
KEGG_hsa05140	Leishmaniasis (http://www.ncbi.nlm.nih.gov/biosystems?term=144181)	0.00123299876700123	0.125429601843125	0.625300863858004	1.35815958476536	1232	65	HLA-DQA2,HLA-DRB1,HLA-DQA1,HLA-DQB1,PRKCB,TNF,HLA-DRB5,HLA-DRA,NOS2,HLA-DMB,HLA-DMA,TGFB1,TLR2,MYD88,NFKB1,NCF1,PTPN6,ITGB1
